time,step,cases,controls,total
1,0.55,0.6939,0.5443,0.6016
2,0.55,0.7143,0.6076,0.6484
3,0.55,0.7143,0.4810,0.5703
4,0.55,0.5918,0.5570,0.5703
5,0.55,0.4898,0.5823,0.5469
6,0.55,0.6327,0.5823,0.6016
7,0.55,0.6735,0.5570,0.6016
8,0.55,0.5918,0.5316,0.5547
9,0.55,0.7143,0.5063,0.5859
10,0.55,0.7959,0.6329,0.6953
top_ratio=0.1, mean_acc =0.5727
1,0.55,0.4898,0.6203,0.5703
2,0.55,0.4898,0.6203,0.5703
3,0.55,0.6122,0.6329,0.6250
4,0.55,0.6939,0.6203,0.6484
5,0.55,0.5306,0.5190,0.5234
6,0.55,0.5918,0.5443,0.5625
7,0.55,0.6735,0.4304,0.5234
8,0.55,0.5918,0.6582,0.6328
9,0.55,0.5102,0.4430,0.4688
10,0.55,0.4694,0.6835,0.6016
top_ratio=0.15, mean_acc =0.6617
1,0.55,0.6735,0.6456,0.6562
2,0.55,0.4694,0.6835,0.6016
3,0.55,0.6939,0.7848,0.7500
4,0.55,0.4286,0.7342,0.6172
5,0.55,0.5918,0.6582,0.6328
6,0.55,0.5918,0.6203,0.6094
7,0.55,0.5306,0.7722,0.6797
8,0.55,0.6122,0.7595,0.7031
9,0.55,0.6122,0.6835,0.6562
10,0.55,0.6939,0.7215,0.7109
top_ratio=0.2, mean_acc =0.6723

1,0.55,0.5714,0.7468,0.6797
2,0.55,0.6531,0.7722,0.7266
3,0.55,0.6531,0.7089,0.6875
4,0.55,0.6531,0.7215,0.6953
5,0.55,0.4286,0.7089,0.6016
6,0.55,0.5102,0.6329,0.5859
7,0.55,0.6122,0.7468,0.6953
8,0.55,0.5510,0.6709,0.6250
9,0.55,0.5918,0.7595,0.6953
10,0.55,0.6531,0.7848,0.7344

top_ratio=0.25, mean_acc =0.6469
1,0.55,0.5306,0.6329,0.5938
2,0.55,0.5102,0.6582,0.6016
3,0.55,0.6122,0.7089,0.6719
4,0.55,0.5510,0.7215,0.6562
5,0.55,0.6122,0.6962,0.6641
6,0.55,0.5510,0.6203,0.5938
7,0.55,0.4898,0.7848,0.6719
8,0.55,0.5510,0.6835,0.6328
