spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
155,0.5434,0.6153,0.6858,0.4150,0.6187,0.4045,0.4035,6
156,0.5481,0.8177,0.8207,0.7096,0.4758,0.6842,0.5534,4
157,0.5492,0.1767,0.3869,0.8340,0.3641,0.3053,0.4494,1
158,0.5515,0.4291,0.4432,0.4544,0.3377,0.2301,0.1759,6
159,0.5519,0.5416,0.6102,0.2083,0.5431,0.3426,0.3280,3
160,0.5547,0.2862,0.4283,0.8118,0.5406,0.2786,0.4759,5
161,0.5612,0.2905,0.4666,0.8501,0.5790,0.3169,0.5142,1
162,0.5648,0.3070,0.3774,0.6656,0.3945,0.1324,0.3297,5
163,0.5701,0.3375,0.4796,0.8631,0.5919,0.3298,0.5272,5
164,0.5752,0.5026,0.7295,1.1767,0.5641,0.6496,0.7921,1
165,0.5757,0.5777,0.6482,0.5957,0.5811,0.3669,0.3659,6
166,0.5763,0.3131,0.3835,0.5456,0.3164,0.1022,0.2098,5
167,0.5986,0.5706,0.5779,0.1983,0.4724,0.4370,0.3106,3
168,0.6091,0.3586,0.3727,0.6611,0.1912,0.1596,0.2765,5
169,0.6098,0.6708,0.6849,0.2637,0.4827,0.4718,0.4176,3
170,0.6101,0.5920,0.5195,0.1697,0.5305,0.4465,0.3025,3
171,0.6104,0.5588,0.6292,0.7914,0.5621,0.3479,0.4555,5
172,0.6159,0.7677,0.6327,0.2044,0.4219,0.6342,0.4368,3
173,0.6260,0.9370,0.9511,0.5227,0.6062,0.7731,0.6838,3
174,0.6381,0.5424,0.6129,0.2630,0.5457,0.3532,0.3306,3
175,0.7159,0.5948,0.6652,0.8273,0.5981,0.3839,0.4915,5
176,0.7374,0.6080,0.6784,0.7929,0.6113,0.3971,0.4570,5
177,0.7468,0.3784,0.4488,0.6110,0.3817,0.1675,0.2751,5
178,0.7891,0.5843,0.5087,0.3779,0.2348,0.4507,0.2534,4
179,0.7922,0.5941,0.6645,0.6121,0.5974,0.3832,0.3823,6
180,0.7986,0.0812,0.2459,0.6348,0.3582,0.1297,0.2935,1
181,0.7997,1.0456,0.7623,0.5210,0.6499,0.9120,0.7147,3
182,0.8003,0.1104,0.3937,0.7771,0.5060,0.2439,0.4413,1
183,0.8022,0.6437,0.6578,0.9709,0.3583,0.4447,0.5863,4
184,0.8028,0.6144,0.6848,0.4140,0.6177,0.4035,0.4026,6
185,0.8034,0.4784,0.4925,0.5037,0.3870,0.2794,0.2252,6
186,0.8076,0.4881,0.7714,1.1549,0.8838,0.6217,0.8190,1
187,0.8079,0.5752,0.6456,0.8077,0.5785,0.3643,0.4719,5
188,0.8082,0.2249,0.2390,0.6411,0.2679,0.1124,0.2565,5
189,0.8125,0.5915,0.6619,0.8240,0.5948,0.3806,0.4882,5
190,0.8165,0.3770,0.6604,1.0438,0.7727,0.5106,0.7080,1
191,0.8183,0.5626,0.5767,0.4606,0.2816,0.3643,0.3094,4
192,0.8280,0.3355,0.6188,1.0023,0.7312,0.4691,0.6665,1
193,0.8317,0.4877,0.6298,1.0133,0.7422,0.4801,0.6774,5
194,0.8347,0.3787,0.6620,1.0455,0.7744,0.5123,0.7096,1
195,0.8766,0.3896,0.6729,1.0564,0.7853,0.5232,0.7205,1
196,0.8879,0.6043,0.6748,0.4040,0.6076,0.3935,0.3925,6
197,0.9393,0.5956,0.6660,0.2792,0.5989,0.3947,0.3838,3
198,0.9615,0.5054,0.6475,1.0310,0.7598,0.4978,0.6951,5
199,0.9852,0.3797,0.4502,0.5884,0.3831,0.1689,0.2525,5
200,0.9907,0.5022,0.6443,1.0278,0.7566,0.4945,0.6919,5
201,0.9949,0.6072,0.5043,0.1544,0.5457,0.4618,0.3177,3
202,1.0025,0.6568,0.7272,0.5326,0.6601,0.4459,0.4450,6
203,1.0415,0.6571,0.7275,0.6751,0.6604,0.4462,0.4453,6
204,1.0523,0.6407,0.7112,0.6587,0.6440,0.4299,0.4289,6
205,1.0764,0.6059,0.6764,0.3265,0.6093,0.3951,0.3941,3
206,1.1153,0.5676,0.6381,0.8002,0.5710,0.3568,0.4643,5
207,1.1156,0.6088,0.6793,0.6268,0.6122,0.3980,0.3971,6
208,1.1587,0.6398,0.7102,0.6578,0.6431,0.4289,0.4280,6
209,1.1609,0.7225,0.7365,0.8326,0.3916,0.5649,0.4692,4
210,1.1627,0.4496,0.5917,0.9752,0.7040,0.4420,0.6393,5
211,1.1678,0.5873,0.6578,0.7723,0.5907,0.3765,0.4364,5
212,1.1738,0.6344,0.7048,0.6524,0.6377,0.4235,0.4226,6
213,1.1873,0.2786,0.4547,0.8381,0.5670,0.3049,0.5023,1
214,1.1875,0.2931,0.5201,0.9673,0.4973,0.4472,0.5826,1
215,1.1981,0.1486,0.2682,0.7154,0.2917,0.3595,0.3604,1
216,1.2058,0.5853,0.6558,0.8179,0.5886,0.3745,0.4820,5
217,1.2066,0.5046,0.6467,1.0302,0.7591,0.4970,0.6943,5
218,1.2508,0.6626,0.7330,0.6805,0.6659,0.4517,0.4508,6
219,1.2755,0.6599,0.7303,0.5655,0.6632,0.4490,0.4481,6
220,1.2953,0.6210,0.6914,0.4969,0.6243,0.4101,0.4092,6
221,1.3088,0.3366,0.4070,0.5452,0.3399,0.1257,0.2094,5
222,1.3375,0.3056,0.3761,0.4242,0.3090,0.1144,0.0938,6
223,1.3402,0.4977,0.6398,1.0232,0.7521,0.4900,0.6874,5
224,1.3407,0.5750,0.6454,0.8076,0.5783,0.3641,0.4717,5
225,1.3536,0.6284,0.6989,0.6464,0.6317,0.4176,0.4166,6
