spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
260,5.9932,0.5731,0.6435,0.7914,0.5764,0.3622,0.4556,5
261,6.0014,0.1787,0.1752,0.5930,0.5095,0.3777,0.4319,2
262,6.0037,0.2601,0.5434,0.9269,0.6557,0.4312,0.5910,1
263,6.0109,0.2938,0.1066,0.5986,0.4090,0.3879,0.3888,2
264,6.0119,0.1809,0.2211,0.5000,0.2289,0.0626,0.1642,5
265,6.0136,0.1998,0.3686,0.7520,0.5306,0.3988,0.4530,1
266,6.0146,0.2843,0.5676,0.9511,0.6800,0.4551,0.6152,1
267,6.0156,0.3424,0.3155,0.6733,0.4347,0.3029,0.3571,5
268,6.0173,0.3891,0.6724,1.0559,0.7848,0.5227,0.7200,1
269,6.0188,0.3622,0.2957,0.6535,0.4545,0.3227,0.3769,2
270,6.0319,0.4759,0.2789,0.4417,0.4144,0.3304,0.2806,2
271,6.0338,0.3035,0.1567,0.5782,0.1882,0.2758,0.2768,2
272,6.0398,0.7524,0.8228,0.7099,0.7557,0.5415,0.5406,6
273,6.0406,0.2273,0.0941,0.5510,0.3657,0.3402,0.3412,2
274,6.0429,0.6108,0.6812,0.6048,0.6141,0.3999,0.3990,6
275,6.0431,0.2170,0.3514,0.7349,0.5478,0.4160,0.4702,1
276,6.0468,0.3452,0.3127,0.6706,0.4375,0.3057,0.3599,5
277,6.0582,0.5594,0.3325,0.6563,0.5729,0.4411,0.4953,2
278,6.0619,0.4279,0.3269,0.4748,0.3664,0.2825,0.2327,6
279,6.0626,0.6769,0.4500,0.6427,0.6154,0.5315,0.4817,2
280,6.0631,0.2657,0.1363,0.4153,0.2792,0.1473,0.2015,2
281,6.0715,0.6357,0.7062,0.8541,0.6391,0.4249,0.5182,5
282,6.0749,0.1890,0.3241,0.7076,0.4365,0.1744,0.3717,5
283,6.0845,0.3619,0.2960,0.6539,0.4542,0.3224,0.3766,2
284,6.0903,0.2996,0.3584,0.7162,0.4451,0.2600,0.3803,5
285,6.0948,0.4447,0.4306,0.8590,0.7755,0.6437,0.6979,2
286,6.0954,0.6163,0.3894,0.5821,0.5548,0.4709,0.4211,2
287,6.0981,0.3688,0.2064,0.6348,0.5514,0.4195,0.4737,2
